scorch,bole char ht,bole ch circ at DBH,bole ch circ at base,per duff cons ,post-fire sprouting,height,DBH,crown dieback
100,0,0,0,8.3,0,7.4,10.7,100
100,0,0,0,0,60,10.1,19.9,40
50,30,0,5,0,0,17.7,34.8,30
70,2.1,50,80,79.7,80,18.8,59.8,10
100,0,0,0,0,70,16,44.4,20
70,62,0,20,0,0,12.6,30.4,10
60,105,0,30,4.4,0,10.4,36.2,10
30,14,0,5,0,0,15.7,26,0
80,6,10,0,0,0,13.3,23.4,10
40,43,0,10,8.3,0,9.8,20.3,10
60,133,10,20,0,0,8.8,32,0
10,15,0,10,12.5,0,12.7,22.6,10
80,20,0,10,0,0,17.9,39.2,20
5,0,0,0,0,0,11.7,39.5,0
100,25,0,10,9.5,70,12.9,25.9,10
1,10,0,1,0,0,14.1,31.6,0
5,0,0,0,0,0,7.4,32.7,0
10,0,0,0,0,0,9.7,29.9,0
90,15,0,1,0,70,11.8,42,10
10,0,0,0,0,0,15.1,39.8,0
100,0,0,0,0,0,10.3,22.2,10
100,0,0,0,0,10,7.2,13.9,10
10,50,0,20,0,0,11.8,28,0
70,37,0,10,22,0,9.3,25.5,10
40,10,0,10,8.3,0,11.9,17.5,0
100,73,0,0,4.5,0,5.7,13.2,100
80,32,0,20,0,0,12.6,21.5,0
50,25,0,1,11,0,17.5,37.4,0
0,0,0,0,0,0,19.4,42.8,0
90,38,0,100,69.7,0,10.5,14.5,10
40,22,0,50,21.5,0,13,19.9,10
100,10,0,40,8.6,30,10.5,21.6,40
80,11,0,30,12.3,0,7,15.9,50
100,20,0,0,0,0,6.2,9.1,20
90,0,0,0,7.4,0,14.1,38.3,30
100,100,0,40,32.8,80,9.3,16,50
100,75,0,10,0,20,12.1,22.2,50
90,70,0,80,48.3,0,10.2,32.8,10
100,0,0,0,18.1,0,4.8,7.4,90
100,72,0,50,15.3,0,11.2,16.2,100
100,0,0,0,0,5,8.3,12.6,100
10,16,0,20,16.2,0,15,28,0
90,175,30,60,12.5,5,4.5,9,60
20,40,0,70,0,0,14.1,23,10
100,8,0,20,0,0,13,21.8,50
90,33,0,70,3.9,0,13,17.1,10
10,15,0,10,0,0,11,39.8,10
70,7,0,10,13,0,3.6,5,30
100,23,0,60,8.8,0,3.1,5.1,100
100,0,0,0,0,0,2.85,5,50
100,50,0,50,50,60,11.7,21.5,50
100,9,0,15,33.2,0,5.4,8.2,80
100,250,50,50,60.1,50,10.5,28.6,40
100,100,0,90,21.9,5,10.1,25.2,10
80,10,0,30,62.6,0,13.1,15.9,30
10,22,0,70,57.8,0,8.1,21.4,10
0,37,0,30,30.6,0,11.6,37.9,0
0,7,0,5,0,0,11.6,22.6,10
0,0,0,0,0,0,13.7,20,0
0,0,0,0,0,0,14.7,26.4,0
90,25.6,20,100,71.7,0,5.5,13,50
100,151,10,80,14.2,0,6.7,11.5,70
80,380,50,100,56.9,0,11.1,18.4,10
10,5,0,5,8.5,0,14.6,45.2,0
30,9,0,40,4.6,0,11.2,30.1,0
0,25,0,50,4.9,0,5.4,24.1,20
60,25,0,40,8.9,0,13.9,25.5,0
90,0,0,0,0,0,8.8,20.2,10
40,63,0,20,15.2,0,11.4,23.6,10
100,140,40,90,17.5,0,4.2,6.1,100
100,3,0,70,49.1,80,17.3,39.6,0
10,193,10,70,28.4,0,12.9,29.5,0
20,30,0,30,51.1,0,14.2,29.3,0
90,117,0,90,47.7,70,8.3,14.6,40
100,310,100,50,4.7,40,5.9,9.9,60
100,171,40,30,35.8,60,7.5,12,40
100,65,0,90,95.7,30,8.7,15.1,50
100,380,70,70,25.6,0,8.3,25,80
90,279,70,50,42.8,0,7,9.5,60
100,3.2,50,30,25,0,13.6,27.9,60
70,175,10,50,21.3,20,27.6,48.2,20
100,277,70,40,4.6,0,5.2,7,90
100,116,5,40,46,0,12.8,19.9,50
20,175,25,90,66.8,0,17,22.9,10
100,340,50,90,7.3,20,7.9,16.9,40
100,29,0,70,23.8,0,9.1,9.9,50
100,2.9,30,100,38,0,4.6,6,90
100,6,0,20,0,0,7.5,15.3,40
100,170,30,90,32.9,0,6.2,15.4,80
60,8,0,10,15.6,0,10.2,17.2,30
20,41,0,40,12.5,0,13.4,50.1,10
10,4.5,0,40,32.9,0,11,18,40
10,81,0,40,23.6,0,12.8,37.2,10
100,60,0,70,44.1,10,6.2,15.3,20
5,50,0,100,48.5,0,11.9,16.7,0
80,10,0,20,10.5,0,10,17.2,10
100,6,0,10,2.7,50,9.3,9.8,20
100,100,0,80,26.2,0,8.6,20.4,70
100,63,0,0,0,0,3.2,5.2,100
90,5.1,60,70,42.4,70,13.7,37.6,10
100,30,0,100,54.4,0,3.3,5.5,100
30,15,0,50,0,0,8.5,12.5,0
0,0,0,0,0,0,10.3,11.5,0
100,55,0,90,12.5,20,9.5,12.2,70
90,90,0,100,20.6,50,7.2,13.6,40
100,175,0.6,100,79.6,0,9.2,29.2,100
100,114,0,100,84.3,60,11.9,19.2,20
60,52,0,100,43.2,30,13.3,21.4,10
50,10,0,20,0,0,7.1,14.2,0
30,33,0,60,8,0,6.4,11.2,10
70,33,0,60,50,0,8.7,19.5,10
100,28,0,50,25,0,11,20.7,20
100,19,0,70,12,70,10.2,11.9,0
60,11,0,40,8.6,0,10.8,15.7,10
70,40,0,100,72.9,0,11.5,20,0
60,41,0,100,78.5,0,13.7,23.1,0
100,0.6,0,50,27.4,80,12,27,20
20,0,0,0,0,0,11,27.1,10
60,56,0,40,50,0,12.1,23.2,20
40,13,0,40,37.5,0,12.02,23,0
20,0.2,0,1,0,0,11.7,29.7,10
80,140,0.2,80,52.1,0,10.9,34,10
50,26,0,70,20.1,0,13.7,27.2,10
100,47,0,30,0,0,5.5,10,40
100,78,0,100,62.3,0,11.2,30,10
100,166,0.1,100,61.9,5,12.3,24.5,30
10,12,0,100,0,0,9.4,13.4,0
100,58,0,100,3.5,0,7.1,10.6,30
100,47,0,100,43.2,80,10.6,12.4,90
100,51,0,10,6.5,0,10.2,19.6,80
100,37,0,100,46.4,0,4.4,5.2,100
100,190,0.8,90,73.2,0,11.2,16.7,30
60,25,0,70,40,0,11.7,13.8,20
100,86,0,100,41,25,7.3,13.9,70
90,63,0,50,26.6,0,8.8,14,10
40,61,0,80,0,0,10.8,15,10
40,30,0,50,0,0,8.9,12.6,10
20,135,40,100,69.6,0,5.3,9.6,40
100,40,0,100,91.4,40,14.7,19.4,30
100,133,0.1,100,98.7,0,4.4,18.3,100
100,110,0,100,83.5,0,12.7,18.3,50
60,117,0,100,83.8,0,12,27.3,20
80,4.4,0.7,100,89.6,0,13.4,26.4,50
30,87,0,60,50.1,0,12.5,22,20
40,0,0,0,0,0,10.4,22.1,30
80,76,0,90,41.1,0,5.7,17.2,10
100,30,0,100,78.4,0,5.3,9.4,100
50,20,0,80,2,0,11.1,12.5,10
100,80,0,100,30.5,0,7.3,19.8,40
10,14,0,10,2.3,0,13.1,18,10
20,12,0,60,43.1,0,12.8,14.5,10
