DBH,height,CBH, CVS,CVC,bole char ht,bole char DBH,bole char base,duff cons depth,duff cons perc,sprouting,dieback
10.7,7.4,3,100,0,0,0,0,0.5,0.083333333,0,100
19.9,10.1,3.1,100,0,0,0,0,0,0,60,40
34.8,17.7,6.6,50,0,30,0,5,0,0,0,30
59.8,18.8,6.4,70,0,2.1,50,80,3.5,0.796775794,80,10
44.4,16,3.3,100,0,0,0,0,0,0,70,20
30.4,12.6,7.4,70,0,62,0,20,0,0,0,10
36.2,10.4,5.7,60,0,105,0,30,0.0875,0.04375,0,10
26,15.7,8.4,30,0,14,0,5,0,0,0,0
23.4,13.3,4.5,80,0,6,10,0,0,0,0,10
20.3,9.8,7.1,40,0,43,0,10,0.1,0.083333333,0,10
32,8.8,3.3,60,0,133,10,20,0,0,0,0
22.6,12.7,6.7,10,0,15,0,10,0.325,0.125,0,10
39.2,17.9,9.7,80,0,20,0,10,0,0,0,20
39.5,11.7,3.2,5,0,0,0,0,0,0,0,0
25.9,12.9,3.6,100,0,25,0,10,0.275,0.095,70,10
31.6,14.1,4.8,1,0,10,0,1,0,0,0,0
32.7,7.4,3.1,5,0,0,0,0,0,0,0,0
29.9,9.7,3.5,10,0,0,0,0,0,0,0,0
42,11.8,4.4,90,0,15,0,1,0,0,70,10
39.8,15.1,3.9,10,0,0,0,0,0,0,0,0
22.2,10.3,4.9,100,1,0,0,0,0,0,0,10
13.9,7.2,3.5,100,1,0,0,0,0,0,10,10
28,11.8,4,10,0,50,0,20,0,0,0,0
25.5,9.3,4.1,70,0,37,0,10,0.35,0.219986264,0,10
17.5,11.9,8.5,40,0,10,0,10,0.125,0.083333333,0,0
13.2,5.7,4,100,0,73,0,0,0.1,0.045454545,0,100
21.5,12.6,5.9,80,0,32,0,20,0,0,0,0
37.4,17.5,6,50,0,25,0,1,0.1875,0.110294118,0,0
42.8,19.4,6.8,0,0,0,0,0,0,0,0,0
14.5,10.5,7.5,90,0,38,0,100,2.3625,0.697436717,0,10
19.9,13,7.5,40,0,22,0,50,0.65,0.215315315,0,10
21.6,10.5,7.6,100,0,10,0,40,0.325,0.086064189,30,40
15.9,7,3.3,80,0,11,0,30,0.3125,0.123344156,0,50
9.1,6.2,4,100,0,20,0,0,0,0,0,20
38.3,14.1,4.2,90,0,0,0,0,0.1625,0.073863636,0,30
16,9.3,4.6,100,0,100,0,40,1.125,0.32797619,80,50
22.2,12.1,6.2,100,0,75,0,10,0,0,20,50
32.8,10.2,3.9,90,0,70,0,80,1.7375,0.483333333,0,10
7.4,4.8,3.1,100,0,0,0,0,0.6,0.180800829,0,90
16.2,11.2,5.5,100,0,72,0,50,0.5625,0.153326873,0,100
12.6,8.3,3.7,100,0,0,0,0,0,0,5,100
28,15,4.4,10,0,16,0,20,0.4375,0.162179487,0,0
9,4.5,2.25,90,0,175,30,60,0.275,0.125,5,60
23,14.1,6.3,20,0,40,0,70,0,0,0,10
21.8,13,4.7,100,0,8,0,20,0,0,0,50
17.1,13,9.3,90,0,33,0,70,0.075,0.039473684,0,10
39.8,11,2.9,10,0,15,0,10,0,0,0,10
5,3.6,2.17,70,0,7,0,10,0.275,0.1296875,0,30
5.1,3.1,2,100,0,23,0,60,0.25,0.087685612,0,100
5,2.85,2,100,0,0,0,0,0,0,0,50
21.5,11.7,2,100,1,50,0,50,1.4,0.5,60,50
8.2,5.4,2.3,100,0,9,0,15,1.425,0.332154605,0,80
28.6,10.5,3.6,100,1,250,50,50,3.2375,0.60057377,50,40
25.2,10.1,2.7,100,0,100,0,90,0.85,0.219415376,5,10
15.9,13.1,7.1,80,0,10,0,30,3.0875,0.625529614,0,30
21.4,8.1,6.3,10,0,22,0,70,1.4375,0.578220935,0,10
37.9,11.6,7.1,0,0,37,0,30,1.7875,0.305555556,0,0
22.6,11.6,7.6,0,0,7,0,5,0,0,0,10
20,13.7,6.8,0,0,0,0,0,0,0,0,0
26.4,14.7,9.1,0,0,0,0,0,0,0,0,0
13,5.5,4,90,0,25.6,20,100,4.3875,0.716717959,0,50
11.5,6.7,4.6,100,0,151,10,80,0.8625,0.142404211,0,70
18.4,11.1,7.2,80,0,380,50,100,1.8375,0.569140586,0,10
45.2,14.6,4.2,10,0,5,0,5,0.2125,0.085,0,0
30.1,11.2,4.2,30,0,9,0,40,0.1625,0.046428571,0,0
24.1,5.4,1.3,0,0,25,0,50,0.2,0.048958333,0,20
25.5,13.9,8.4,60,0,25,0,40,0.625,0.089285714,0,0
20.2,8.8,2.1,90,0,0,0,0,0,0,0,10
23.6,11.4,5.2,40,0,63,0,20,0.4,0.151964286,0,10
6.1,4.2,2.2,100,0,140,40,90,0.6125,0.175,0,100
39.6,17.3,7.8,100,0,3,0,70,2.475,0.491180626,80,0
29.5,12.9,8.5,10,0,193,10,70,1.75,0.284214744,0,0
29.3,14.2,7.6,20,0,30,0,30,2.125,0.510927452,0,0
14.6,8.3,2.8,90,5,117,0,90,2.5,0.477069737,70,40
9.9,5.9,2.2,100,0,310,100,50,0.1625,0.046875,40,60
12,7.5,5.5,100,0,171,40,30,1.625,0.357893577,60,40
15.1,8.7,3.2,100,0,65,0,90,2.8875,0.956728363,30,50
25,8.3,3.1,100,5,380,70,70,0.9375,0.255975606,0,80
9.5,7,2.1,90,0,279,70,50,2.275,0.427969225,0,60
27.9,13.6,4.6,100,0,3.2,50,30,1.6,0.25,0,60
48.2,27.6,6.9,70,1,175,10,50,0.6375,0.213164251,20,20
7,5.2,2.6,100,10,277,70,40,0.1375,0.045833333,0,90
19.9,12.8,2.3,100,0,116,5,40,1.95,0.459962662,0,50
22.9,17,7.6,20,0,175,25,90,4.275,0.667857143,0,10
16.9,7.9,2.6,100,0,340,50,90,0.275,0.073214286,20,40
9.9,9.1,4.1,100,0,29,0,70,1.5125,0.238177596,0,50
6,4.6,2.9,100,5,2.9,30,100,1.55,0.379537431,0,90
15.3,7.5,3,100,0,6,0,20,0,0,0,40
15.4,6.2,2.7,100,0,170,30,90,2.183333333,0.329212994,0,80
17.2,10.2,1.5,60,0,8,0,10,0.94,0.155878705,0,30
50.1,13.4,4.2,20,0,41,0,40,1.65,0.125,0,10
18,11,4.8,10,0,4.5,0,40,2.52,0.329086236,0,40
37.2,12.8,1.6,10,0,81,0,40,2.933333333,0.235887097,0,10
15.3,6.2,1.9,100,0,60,0,70,1.557142857,0.440716206,10,20
16.7,11.9,4.3,5,0,50,0,100,7.225,0.485294118,0,0
17.2,10,1.4,80,0,10,0,20,3.5,0.105421687,0,10
9.8,9.3,6.3,100,0,6,0,10,0.5,0.027173913,50,20
20.4,8.6,2.6,100,0,100,0,80,2.64,0.261951754,0,70
5.2,3.2,2.4,100,0,63,0,0,0,0,0,100
37.6,13.7,6,90,0,5.1,60,70,4.116666667,0.423958333,70,10
5.5,3.3,1.4,100,0,30,0,100,4.371428571,0.543528914,0,100
12.5,8.5,3.1,30,0,15,0,50,0,0,0,0
11.5,10.3,5.9,0,0,0,0,0,0,0,0,0
12.2,9.5,4.6,100,0,55,0,90,4.5,0.125,20,70
13.6,7.2,2.1,90,0,90,0,100,2.05,0.205594318,50,40
29.2,9.2,5.3,100,0,175,0.6,100,7.1625,0.796448087,0,100
19.2,11.9,4.5,100,0,114,0,100,6.75,0.84315216,60,20
21.4,13.3,5.8,60,70,52,0,100,2.2,0.431826027,30,10
14.2,7.1,3.9,50,0,10,0,20,0,0,0,0
11.2,6.4,2.6,30,0,33,0,60,1.4,0.080481283,0,10
19.5,8.7,5.2,70,0,33,0,60,8.85,0.5,0,10
20.7,11,3.7,100,0,28,0,50,6.4,0.25,0,20
11.9,10.2,5.5,100,0,19,0,70,1.8,0.120220588,70,0
15.7,10.8,6.1,60,0,11,0,40,1,0.0859375,0,10
20,11.5,4.7,70,0,40,0,100,4.2875,0.728783167,0,0
23.1,13.7,6,60,0,41,0,100,5.05,0.785317818,0,0
27,12,2.7,100,0,0.6,0,50,4.833333333,0.274049296,80,20
27.1,11,2.9,20,0,0,0,0,0,0,0,10
23.2,12.1,3.5,60,0,56,0,40,6.25,0.5,0,20
23,12.02,5.3,40,0,13,0,40,9.933333333,0.375,0,0
29.7,11.7,3,20,0,0.2,0,1,0,0,0,10
34,10.9,3.7,80,5,140,0.2,80,2.425,0.520636792,0,10
27.2,13.7,4.7,50,0,26,0,70,2.933333333,0.200735294,0,10
10,5.5,1.9,100,5,47,0,30,0,0,0,40
30,11.2,2.5,100,0,78,0,100,4.485714286,0.623227708,0,10
24.5,12.3,3,100,0,166,0.1,100,4.3125,0.618677389,5,30
13.4,9.4,2.9,10,0,12,0,100,0,0,0,0
10.6,7.1,2.7,100,0,58,0,100,1,0.034722222,0,30
12.4,10.6,2,100,0,47,0,100,2.5,0.432011301,80,90
19.6,10.2,4.9,100,0,51,0,10,1.4,0.064814815,0,80
5.2,4.4,1.73,100,0,37,0,100,5.533333333,0.464394796,0,100
16.7,11.2,4.3,100,0,190,0.8,90,5.1,0.731619301,0,30
13.8,11.7,5,60,0,25,0,70,2.975,0.399791667,0,20
13.9,7.3,1.6,100,0,86,0,100,1.7875,0.40989974,25,70
14,8.8,2.1,90,0,63,0,50,1.733333333,0.266489362,0,10
15,10.8,3.6,40,0,61,0,80,0,0,0,10
12.6,8.9,3.1,40,0,30,0,50,0,0,0,10
9.6,5.3,4.5,20,0,135,40,100,3.5625,0.695603002,0,40
19.4,14.7,3.5,100,0,40,0,100,6.35,0.914035088,40,30
18.3,4.4,1.7,100,50,133,0.1,100,7.1,0.987318841,0,100
18.3,12.7,2.8,100,0,110,0,100,6.65,0.835282578,0,50
27.3,12,7.4,60,0,117,0,100,8.1375,0.837722476,0,20
26.4,13.4,3.1,80,0,4.4,0.7,100,6.35,0.896008708,0,50
22,12.5,2.7,30,0,87,0,60,3.05,0.500523533,0,20
22.1,10.4,7.4,40,0,0,0,0,0,0,0,30
17.2,5.7,1.5,80,10,76,0,90,2.171428571,0.41070693,0,10
9.4,5.3,2.5,100,0,30,0,100,6.1625,0.783838848,0,100
12.5,11.1,6.9,50,0,20,0,80,0.0625,0.02016129,0,10
19.8,7.3,5.4,100,0,80,0,100,1.025,0.305261752,0,40
18,13.1,6.1,10,0,14,0,10,0.15,0.0234375,0,10
14.5,12.8,5.6,20,0,12,0,60,2.5,0.430866165,0,10
